text_col_1,text_col_2,text_col_3,text_col_4,text_col_5,text_col_6,num_col_1,num_col_2,num_col_3,num_col_4,num_col_5,num_col_6
DiKxTLPv,SfjQKwpG,TEcxhATT,VBuslTcn,uECYUBmT,xYwXpZvz,93089,86974,86942,57362,16517,81347
hMNhxSFj,fiXcTewg,OKWGzHDQ,LwMbbnBF,DiVYPsdm,uJSxZMGp,8882,65532,52903,13174,30671,58496
lSeDSAdT,RwDuvSdc,pdggTxwl,wiRvaxXV,izsZSaTU,jcdBiZgb,29486,89943,36112,15008,70455,79085
ztRdUDXa,TGnGhLgf,nkmkFgao,CFLPidps,lAaXNFTd,lTipOTcK,46242,28311,35916,79594,96964,35597
OhRjkBkv,bZJVXVGD,NXxjihCH,yZFkpWAK,btQMmCnT,cHhMInmF,11147,11720,25106,87705,95587,76055
YHMwOMAY,BUiCAjMt,FEsXTaPi,waNVeTph,CcrWSEOT,vXUHnCvh,48043,43906,49524,95772,51062,16358
kzxYqZzP,KmkRGVnE,SlDayYiO,UCHOHefL,qYojnDqX,lNiJfdQa,16051,36588,9087,44361,96532,96384
DrBNUPTv,jDtfLGMP,shzInMVD,pjvhoKLS,EvlMCKfQ,ioERYDaB,1956,63813,82980,97380,91940,70818
EMRDmpas,lXtcDDfd,VsyIVxqH,KjddLJIT,HjjaSDqm,UjvIStby,22269,65195,72243,84089,71325,77023
gRetUwkC,dmJOgsva,eVsjBsSo,iHmlnQGW,rveaxtsv,qEznSpit,75771,26528,30621,18326,88905,90247
dOipegkr,eWYKGRKQ,QyIroPji,pyanrOMP,vQgYSIFK,GEimvUaS,17516,24794,91185,19771,51309,27556
mzKDUFLS,fRbebfYs,HguFntyv,MKjfDWNk,XrrRbXco,QFiWJhHS,51341,43167,26929,14626,12512,57418
WJpwAVTe,xPQVfpBn,kzwQRhuv,DwKMLXoc,OuOnzMBl,iexJvrcK,42354,19544,22684,73834,90132,33554
MBcExKVp,mZFPlXeO,eIZqDLsc,qMPDOfZE,wAyhoZom,jnChfnFW,31707,6527,19332,95086,69296,59401
yiXYLQuE,tAvftpGc,erwCXYol,OAJrYCKw,ZADmerEF,wcuokqeN,75735,28412,69231,97266,94558,57909
kRJXJrTk,MdTkrhdW,jhuGoDwq,smhnYbBG,DMjWxeaf,cDCyHTYg,73673,3836,51191,944,33079,91644
UEIeulnI,oGFdcowd,ROcuCKjM,ExBFFfqz,iQhmhzVL,angVjLMb,98077,94564,39369,96906,68102,81340
jJEWcyDH,uprsnsdG,VpbVYFTj,lRQwMuDN,HFGkYeTM,ZrtSyMPN,41999,26977,16800,6077,57074,78065
HqlXEmef,lPMVpusC,YRDnAINB,CDPvboBz,ubjmvKhH,mKRrIhQU,43491,78784,83098,96792,95755,38799
KEPQVatM,AnNDweYd,bQKrJYlR,GtydSJjg,DyDjDjyH,EQhpCNiq,41332,34488,28608,27433,2865,85961
XpOSlRly,whfRchIz,MpBhzuua,NlbZKghs,lpMdaook,mxqBRfLq,84475,43079,26160,47629,27156,79159
PWqRRFwt,rhvsUBIa,uToWSDQh,amEFyUNR,KmrEyoDM,tYYIMhyW,69711,61478,36265,52127,6009,57490
yeEDLyAR,wRwhssRq,WJNNNYSC,xKtcoJLt,vIpwzfNx,GcxHfvCq,36377,85805,75748,58766,43961,95077
ayqLMEls,txjWkNzt,SFphVuCc,SAWnLWFg,vSbhkgua,MbrFgDxf,25193,64265,95789,5198,33729,70130
nJFrKuTq,FvLwQUEk,envXKevm,HPFFyxjU,WDjpehbc,FwynnsTJ,66308,99352,73264,42071,47205,24374
fAlWWMJs,mcaEJkCH,SJzXBUqC,CHUDVnbZ,aUSUuOHN,mZXPlCYq,86888,2712,18814,88667,54821,32944
nPItzkPm,duBGOjIg,rsDzDjvr,VdqJcnGc,FDXOFYOZ,nsLMmUMH,9238,36288,27650,72647,92401,94681
GzsoMbrD,iTACQhiA,MwhRoPGL,AtRBcCaN,dGMJthiO,nAbosImM,68926,32265,89016,95741,30699,92121
pGgBSfIF,FordpbFB,SikqieXq,dClNOkkw,TUaYOmTg,HgmIAdUk,4937,73335,53930,57386,7844,97558
rnTGaJQT,imzhynuT,TVqiMxrK,abxuquzG,WubSFdcP,yTDTVxHH,51311,30186,93449,71712,97043,9469
QCDIzTqE,xumHYTEv,TKFUcoRw,pKuQrjUR,EhbziwAV,iEjmbnIj,21975,76452,90336,42915,82006,83268
BFwLDQBr,WEldfZAJ,DNhTfBnP,KqElUMMd,CdYHJRKY,UOFXDyuh,36422,81093,5698,38607,9250,15774
ylcyneUV,cCVEmGLM,JNwaCoeu,AsYvqxcu,nnzcqXyQ,KwhAZVlu,4405,21145,43361,84930,17205,68090
haMaVcUp,VVhjoYkZ,VFIkcKzq,jdQRwTBw,twlCfWbG,OEbAzhej,59007,2115,49199,95020,32319,95301
vkUvStTX,WSxfEgMA,mkobwQpN,QmbiiOXu,mZpMGLbU,ZTgTVuiJ,95039,58019,98826,66804,58715,5305
FtKGEsUE,HXNJVlxr,OVPEbgQj,SWBBFVxG,ruSHRGSO,saFhuVVB,47095,60993,38868,2534,82970,14498
ciQVUkCH,zNCymMDi,ipYDQsiR,tTzqGQdE,sdQiBhmz,hroCUXew,60281,40822,56789,67984,44729,77286
mNhNjXFY,rveXJSUJ,dHCrssrR,cGAEcvJG,EJwtTqdK,WecuTptU,87934,43501,27530,2185,9548,5194
IZfirSCY,wkzcSqUj,AVSpZMDS,DFbULIvS,nylraOpt,EkHftZnY,52073,19609,93883,70166,60149,43228
mfkwcHJR,AqlvaGSK,DpVzxPny,lcSeeayU,LLPThunl,pAxYrFWS,2129,27223,89121,89637,3838,72764
RVHegHKr,quTVxnAM,uWifdIUG,xJEGlgzt,XbRPxNlR,rtxdyBOU,25005,37969,27916,64093,70747,39681
PeubMjbW,TLzfWyGV,yYGbTtsU,qkEeatLz,QyRHcRZd,zUdcEwLu,82699,64617,48676,36604,94408,44425
xneqVPzZ,NkMkahKX,jabOvUHc,lRZVfRqA,rhMkrlcM,TdHDCXxS,16088,56401,58405,69022,22229,24269
jPixPQGZ,fwmZZHhe,kuyVgWhM,hLrCteKe,pEJUcNIq,ZUGLHRjg,8896,53938,81286,94478,93035,9397
bEzheOjf,zgDfzVHl,VhwklGFO,EgOVkZeH,DrGYNaoB,fXFEfQJq,62299,86708,14174,75433,93486,27648
ptWkkMYH,XfhwPBfu,gFWsUrxj,hwbedWjJ,xgiRuQvb,tRDVCiBV,4231,56190,31629,84002,85167,81263
mCFLqVEm,AmVmuEJq,XDfbDEiV,gQHanyVG,KmoZjgXQ,nvjnhsCb,35744,19765,26312,35418,49987,6882
AoSxoKAO,FrVWBwad,ulORRWwa,sdIuqxeO,wRkGpJRS,CamIyqNC,1035,47111,31442,74662,87610,20575
onjLcyCG,QlSnsbCx,AxKPgJtU,fHnDQikb,cxdgxxpD,hAYvosVC,53223,45514,66220,73293,83949,50958
iHIQhbxU,VASvpohQ,tMIYoMYS,NCCjaXAd,xtlxdkoz,HhBDfrrn,32992,42819,77787,58863,68945,10229
jSkZwXFl,nhaVeXiD,vDHYpvgK,AZRoXUui,GdLFcqQr,cULIgERJ,84282,92558,14599,21752,1225,6407
lUhNDCnm,bPhTmHds,sFTUDRPr,ywAdKflX,GWoBrjcB,qexCULCU,97820,27743,19852,55471,96402,9795
quZDGgJa,pdTNbofr,siXTuvoK,uLWYHLBW,seVFAiBk,wbvNJGGe,98537,50157,68464,92881,48184,9876
wWyxWSEY,trNVCWBM,DPbggsRE,hXJWYBlK,xzHjQwVe,nUwsNwvt,9858,66439,42542,79441,37445,48510
QmgqRFcX,idejngge,nTTfZEep,eAJWiFKQ,JVIKwWEX,juusEOzj,11152,86168,67035,72880,11931,51463
MchKcEHO,mvLVZRSG,wAzTQKkT,mLBIgvoZ,uJaQhLcG,idlxTKdy,44364,12523,13289,20638,96211,44083
KCJucnSG,XiOnhyuQ,DwzTwBjf,bHGXkxdl,mMIgtqGy,gCcCFFhL,80600,42338,24644,94755,90174,28565
AxIaxjBT,qTocxwMr,ZNJGmDYf,PQiOTtkq,DZqOyBBQ,IWXjlgBT,31320,45253,52431,57773,72125,89837
zpfUmHlK,SVKBlwKQ,KZAYkplC,ScFiHHqn,dAmqgJDg,fVRoUrBG,96940,32992,52874,39621,23774,92403
qVUrLxEs,TnpTQwKQ,HxRXFHkq,EcneLSQp,FITofOtY,OtnCkcjj,66312,83205,27801,30661,28647,35658
CLFYGVpQ,nazyWrto,HcqriSkq,lHlDyXaM,eHRLCPZk,LEJHdvxF,98739,41237,32875,47096,2024,15683
fhygUzVo,YfVJUkkY,ncAOONxY,hgrDkGvx,wemxWpxl,vroBOBoy,97662,50587,63441,99105,30679,47705
JOFqHymJ,NqKyzOyK,NpHmCrFj,RgmMfESE,ianpgrGA,jWDGgOxY,64833,24375,56993,7824,80744,90763
JbiffGzX,XhEDRlNF,yKDJffCo,UvzkBTAV,ZwLmtHpW,lFjmCXdA,3057,75989,49388,53841,26237,72556
jRQzsZLB,sdpLvYZu,DXISbnlq,sIuWYfxZ,YpuWOguj,PfpBiRtZ,73696,55203,61085,82169,47439,20529
vOfVklyp,LcWPnTqw,HyCZjNfm,vrWHPPOc,zOWlxpyc,YjiKLgft,96708,74122,7109,54252,83085,45943
JkuqcUfL,jWAIZkCJ,wezvBvVx,ezwJeMDp,coFAjVUh,TmiypQSU,57852,838,96336,8356,83295,27343
aNcVbpbI,hreULRTt,pygGatip,ozVqsOlo,HrcfZLCu,lkfgCmvc,91883,47675,95008,99558,76441,10244
kDzxuJNy,WzoWgqre,DXjxTzkg,mNSDwPBB,GzryucFS,AMySZuHk,62211,89722,30920,69514,54932,9014
PfDVGRfp,OQYkWzYN,kDzQPRBA,qpbWjPSG,KXCWgBDF,BKjPmuam,26698,23504,11287,73132,51171,15361
jwnOeEjS,GJNeZVNK,AlfXciZk,OMddwBmY,ATygiHeC,xBaRRhGx,4051,64327,1161,51457,56019,10167
uUzlKPeX,SkNlfPZz,vSelEJzH,MMBnQVQl,nYsekyUj,EcTJJroY,53349,42805,19046,11532,60100,1599
QMgvbOEa,TEQZPwkP,UnNyPKre,CJIoZEXF,AQZuCrYL,ayumDabv,84069,66783,17596,15780,3584,30546
CJQKRgyc,oXunscxR,QTuVNYTV,UjQYmPmi,dTNfgepi,TqdOmrUu,78107,88920,81738,23577,56450,38924
WfJnRGhU,FUvbRLIg,OgajHulS,cxNLAuwB,fbRxHdOl,JJHpMSDP,47072,112,9461,47427,21199,57303
gXkKXDEo,dKzUsRcA,FXdpdIZU,SvAETtjL,LKNCMDzh,ALLnohek,47928,9247,31799,65368,85140,88987
yfqEiWAG,WuXmTHHM,QoUkweuR,AbZucpzp,eCaArtyo,kBrbgepo,51899,4393,95320,7647,42432,21167
OLygMcBy,YdArFzGn,CASsEYkq,zgRdLwir,jRjLppyk,xNkiyWaV,52762,26746,82631,39883,69727,65807
TZiKKrnv,cXdjaCiZ,jyriaIFY,QzIPZbKo,MGeKmqIr,uumvHAMZ,89012,32451,51742,58124,94200,98601
cYHSJuUk,CGDeQEsB,TrLbYwdf,NGhWVjrP,ccJCanab,EtgbFwGK,37708,4894,28843,40844,39613,94060
gbzQiefF,HyTRLIPU,pMzBCycd,sGMbcnpv,alPMDuzk,kgUdXFee,45377,56086,40242,58325,71086,73985
tEJpWcqc,DfcevkWR,xbrxOgzS,HLIiVrbB,vkeIbGnt,RNSmDqXT,25652,43235,63419,62731,89537,32466
svEwvrsU,iegtyotV,EFGgHXHx,ITvjGamg,apdxvdAw,kIboDwWc,79228,18689,9295,58685,33362,80740
cBzZZVLT,MECactPp,ZlcurEsk,SzDfQuto,eDnrEdLY,MmUDRhpc,6531,92469,76479,74218,28634,3082
fTRTaopR,jWLBJnmh,kYpqwpzg,doCqINqg,WZOfdboM,zTePpNEd,26454,57650,66870,89953,42139,67208
EYofkewi,CUlDcDWG,lhpBWjXH,NwTweVBs,omfcmxWz,KtRQjMxa,93821,49826,39449,33013,83849,17630
TgHWisBx,EwACxprx,hEcaKmfp,nIbliwSR,JPWVZxzb,LTkVNbUB,70312,60075,75095,93815,43021,92381
dVuYJtkJ,lNQlPJkz,IFSBWutG,lAIbXShU,gLIrMIuk,UgiBoGfm,9139,30104,19031,35210,98053,6300
ULzZJdua,MLnCMTqR,VsMpcTWd,wHFerWWz,udgUNbdZ,LNqoYAtn,46123,97247,45581,19043,60990,77034
adcMFQjK,gMvonSch,KQrnFYnO,JGUsTjIS,fvcdGwOP,POhtwAGt,96594,73282,96308,72233,55747,93523
xfnCAwOF,VINQUoPY,BnsXCbLc,xXeodDok,tVSHTjZs,PCkTSCxT,40538,85381,80651,15915,40857,65330
qdTgFhkg,VRJvyQhy,xIpteiVW,BMsKYnXy,nuxOnbdl,koIhLFvp,94208,46596,60386,98132,7053,62727
jiYtpOmF,GFYfKbfG,KcxMZHjD,XlqEtuSx,PXkwGIMG,xpbmMKHw,89458,33299,36594,75345,74584,23592
pnnYJniO,UkiqOwXh,GVaMfyFY,EUkXUDWR,VAvviIps,RzJcqzJq,52650,43852,18148,18495,18949,12950
nsFOoOei,WTGmIiYG,qmHutaJl,dEEeGEVm,KLOzRMeh,LEGWzQeg,47850,83206,57547,6338,71976,54126
zISYSpwx,EJUtQHml,ZkdkehVm,yYkKwHNx,xKFRrBjU,xcSjWXSp,86413,82981,26884,9230,20908,88548
RouEPqfl,UWCHzcVO,Rurdnxox,NFaCdKyU,jiSwTFgj,ynELJUnO,81757,89992,11187,27805,88475,67832
MoTFLJHC,JxsUTSkm,PdnfJkln,cmhxfVZc,gwQpxEGB,YOxrCjIK,63266,52060,35964,58535,74825,25321
GQpNqBQz,NxqImPHY,juCXBegk,LtUGggfq,kMYCqqvy,UhopZNDR,71592,98132,53636,6416,11916,7398
bucbaWSJ,yQUNEZFV,bihnoaMp,oaIswZgV,HuHtXaEd,GbhIHlTq,71337,42421,48636,41346,75063,19328
GFUsPxee,YfmolMMt,bBnxexsI,mOlFPFgZ,oFobfBpW,RkBWhHXF,30210,81425,49673,63121,27814,72445
LlKFfGYf,XoogECOu,PaKaINmv,VGnXCUHH,hyUaCpUn,peDrnEvH,69405,24178,1741,14904,64217,56310
ghAHeTjq,dVBPGdig,fvCqnVBS,qtkbbthW,oYCPizpM,lvfFuXOT,33920,1192,42251,58812,27949,42670
UgRcodaB,XCSfPyMH,cnOSZtBN,jOltFxfr,qpWQtxBd,CDEkHFvW,61023,20336,70925,69323,89321,83252
ZmtnOhvm,lqZVTCJv,IECDYVXG,sDqpdAuI,kzngifJz,VqotfATY,68044,81424,79956,3174,93369,97825
INcFnQut,euUBABjq,XbVbzDQu,kdXtjqru,gYcNwjQy,ZxwrZEWd,163,74664,17196,63571,36368,54051
TOokehxQ,NpcSAKQK,aemSgkIw,uYAPtyKl,mxvbOjLB,RIKdCZfo,56118,74205,67899,42809,67668,75649
isqsZJVa,EpUtrorL,FqRDWRuG,WAwIJmYr,ONmLoXcy,RNQvEamx,90403,55677,22051,12362,3033,71450
rzBwTGlN,LKVQqlNu,XPwRDTqQ,wDBGcHUN,VPgxioBL,BSGSDYTY,56240,70688,26882,60515,44967,22169
zASeYbwl,FINgGCsR,AzPtmukv,ikRcaHbZ,RwgnVvWR,bzcBjJTc,83318,64241,25314,17352,97642,58530
NHRWvZJC,bnBoaqwU,nlbcybWq,ezDkzHNz,afAAYmEm,XuOdrXdn,82247,58548,85010,25027,48973,23420
UBcFPZcz,DbfjTMrY,SYfMleaq,pZSZnnnC,VJeEIbeR,CLAdQtvv,58051,75972,33423,52345,35522,36165
QTExOVqr,DDXkLuKY,WWRMNSLL,zAAUVvNQ,YdOBPdDE,micLTWyS,16865,25358,10865,84889,27653,62420
SuFZjLdE,uJbnGeLf,rwSSYFCk,pkqtxdoo,TJPqKuFV,PSKBFRPF,83788,52355,97440,60974,19741,70504
rwObvyQc,bYAzxtZA,ZFsUsPLg,rJARWUXy,DTyOGRYF,RdDJXvca,19720,7799,18125,8252,23824,64079
EllUrYmB,UHWSafnk,CvRLEqMG,QyKmuzKE,tscBwwXW,LQUToybJ,65303,7695,62341,44188,88402,51271
SSadxbfT,KSzAGPUW,NDGnnNqy,sVmfyRon,wojMFnll,taxLjKpS,81544,85450,67798,84019,41312,21323
fSZRtfPI,JAwLkGhu,lBPCRzue,fQJmXFCR,tIVSxJOq,QqMuaNNI,5872,62974,49317,41966,25415,16980
kTNduAle,VWVmiwSn,CxxfRdqc,haxhUOle,TBmlRCxu,JcPrxHrD,70240,9685,9964,29125,57200,27077
xFSxLwtN,RpoKePUw,mNojKsjk,xKeZCBHJ,lyGWKoES,eZZheicD,11827,82139,50612,40855,80957,39481
DMWeDuKU,XsqEUrfU,CCABaBrZ,UgsOamzt,tNiQhBwD,DyMsGnCq,49193,71084,13220,34218,660,79099
UEkhZdFG,xBcmOEUE,HCwIQhPc,maMNdvgM,HxopGKsv,HWwHZsSA,82579,32378,60347,47155,83877,93888
AnjgnAay,sKomZjUf,TweQJJMz,OYPZYDSo,hyDBtDfh,bOuadniG,40651,58615,6296,68944,11594,55398
kmaMwtAd,aTEaYKvP,jhSauJzs,TBMBCkuB,WjWJuqhY,rYFahdxd,30314,46273,94985,6315,41942,82409
zWLgTxKO,HxcCHdGr,VziImFVk,bQDbWcdb,DXqaFuCI,YjWYwxcv,89923,99817,37864,23711,47019,10719
TghFNPcV,YzmLnJyd,EtAvJCpi,kOmZHKtQ,AClymSJk,LAgIfqdq,29277,55056,74892,29475,88523,8850
CIUwraBU,lcbLJNRg,oyBpNDWs,INOfYkXF,Brxnqjkr,GtFUNRDz,80705,37110,19539,29868,35728,84952
CyFpdOGl,jYZvCyuT,tyxNAJNw,yMNSUnOL,CKlzYOBf,vnIYRTqQ,17935,18351,67135,69992,71771,97812
WsLQaxEa,UJlhgzhX,pZNdRnHS,sxxVmYIv,sxXTCCTC,PeLbxdZu,58308,77031,24838,5490,7205,52685
yEJgpeZn,kEVbJieq,juHqUzXu,QrTFZVag,wihQypLm,dyXXbKDc,58565,90356,77684,41152,44656,65907
HanmakFT,YHxnjtGy,PTdXEIfo,frDQpUGY,OofMQruO,gqBUsqiG,30094,29591,52930,67798,71746,74670
OhGmeCMu,ClftQYkQ,cSDdOJPj,JKKvFyTx,opHCqsNl,nMGJHFLn,48847,32183,74522,62995,64572,39682
flePwVbp,QdiuCiDV,ULsmTGHY,zvDOFHks,bVrOHyKe,SHFxjrfq,99277,72460,53161,19040,14740,89879
MjnVcpFU,ZZpfkGzw,nsoXZuhG,SlUqAyXm,SYIIjJzk,gToxaSMz,51824,21553,73578,73884,68298,91745
zqriNgvB,fjMRbfbJ,KqKwqPyq,dbQrjTba,CdeprpZv,DPpGKikp,54167,37567,6570,79843,19528,72484
NecIrJFT,oggohPey,PekEGnsz,QBiltGzP,wdCwtKOO,IqEOupog,29488,67901,20986,45969,15758,48594
daPkpZJC,wDNPOaNT,lYClNzDs,lOohoDPY,tvfquCJX,urUnlgfT,35104,29417,10757,82388,3548,74125
cahSTqZs,CcnfzzXN,acLreaSI,BnPDWsJx,kPaBRxWG,AvPJoMEV,68615,89028,20729,90798,97167,31124
noYbvHPt,LksstdhP,qBgOIRZL,ECMbVoxq,CsDkGrqW,huCpjGHM,94127,79309,4606,5422,66230,59291
gsZKOmUf,fFbMIHmC,uySJnCiK,SpsrnCZB,nUKLMIlU,eFtQzofB,20104,34626,5482,78969,9523,7366
qSLXJdiQ,RxQKjDsN,KdODTrfv,xbyyjSCy,aSsAEiKY,LHCliWgP,20455,1474,33293,14832,46021,98795
NWYwMYEe,DTbtLILm,TPgHIpfu,VXvQWeQy,gweCUzAH,SuCJEAQn,49284,3515,73857,67249,23000,73288
wGqovwxQ,ElHyaatI,GabFHsAM,irZcVRkK,kwhSksuV,TnBEVMxJ,49994,82798,2512,42818,11936,23026
wXSfspef,MtJvsLMY,XuoWuHmp,MEhdjIZZ,catdrLyS,mlgEgJpZ,10151,17819,81042,19379,75253,42442
EfoBcxMs,fZPsIiLM,CsZgbKAM,RicCSMlk,oeFSoRFL,GNmqORlP,10420,80299,36647,35006,43862,67366
ImVLzbDc,CLohsDuO,cwGLfdXu,avpeQFup,dLsyKheI,XCqdOQuE,79367,58439,32543,20366,53628,81274
CnSSWxZN,SlJfWZEV,GiONOTam,Qoscbauz,SAonsTmw,skTbLiWb,32964,7978,35620,58812,9056,15230
ausxCQVt,fnCRPDTa,rpSsZObb,AlVnyBgs,JlXtadPT,HGDAtawn,59684,16297,62389,95232,19472,56836
JxtrKkAG,rvnHadoc,jzgQFiPJ,fMxxKbYV,SJhVwJYM,tCKrRxoK,33128,25342,61139,45804,30496,26585
fyNZjZqZ,RWswLOnn,OjnAlKKj,NTqSDuHc,lQJMxqhG,UisGeRYX,91690,18189,55668,90524,16105,30730
zbiXjyWI,RwnyzFmu,psYKpjcH,qXejdHYM,mKVGVKwo,kIpfbYXo,7609,49813,18789,95475,84590,94596
uVlnZPHa,hXedZKRt,rBfdOZaW,rzutnBOF,OjivFLKC,UOBASkHu,21062,15769,53032,37539,21372,40114
CsosZZzd,evnjkbzL,wICAoBfl,kBSVoSLT,hkfoYqyv,ejkfEzug,20641,52473,990,56623,48272,79383
gNCGlrmm,UJuzBbHy,lyTVyAGH,rLqjBmdP,UMSyxAmD,FIvgPhsG,88064,82058,96457,22721,63568,61469
KvgwEmFi,vGOjKkrf,IiLedUyv,wcPWNLOT,BxteMWPB,hmEZMFoi,81747,80745,24256,54988,28888,26582
jtRLgNGR,ZeIygnDa,RFebKRkj,VNZgSdVN,CxuiCvzK,NpdeWtML,76127,80578,60115,99507,12651,28911
hrMbsBug,AlynQGXB,doqPUYMs,KxvGZGCD,XLrnmMig,xegCtfJk,7155,99728,56212,71931,67931,96676
tPSSPYPW,plxvjbDw,SaaJNcLn,GJqLvRGz,zSVfnzMi,TcuNjWko,14571,53625,27418,80466,15541,48790
uhFyoVcM,XqZRCDrU,iyLnaztq,rnDskQpV,cojUjsis,evtHJTQi,75222,33720,22334,26120,85676,46883
MOxbomlH,pYmgNrBu,rXWnJJpP,IPLPPQwr,OGmhpOKW,QTXTYMTj,47858,87110,9247,4144,89432,14082
UImduKMx,iNxpmslf,PpsaXaTE,CsLrqyAm,oSFrrdCC,WQfiRvQo,66730,37786,9302,86524,11924,97162
bqqwewpi,sSYcsEkX,BONJjSBI,wblFoVaG,aAxEvGIU,kbKlvDSI,84280,2165,15807,54550,57660,50848
wxXMrXea,NHoxloHv,CzkToInr,BsWnbEYh,pXcAccoU,BIIptnsD,76402,82726,16147,3393,55877,28844
dBpmhsyv,bYdLeFLX,wJlOMWyv,ylopcAWa,zRVmZWOB,sbVJGtze,15387,30835,81559,44416,60964,57485
mYkqdVpS,HNNnyABr,gJpDDYQG,XNavIRCR,LaiQCpDC,rtKMVMPN,56992,71090,65871,72403,68776,25867
KTFzAWcv,cgAqoBLa,seMcgeyD,fkdzfjPt,BSHPOZRj,SqSECiVt,29014,43575,10993,68383,58284,27020
HbCEqsMh,VBtgQjGe,qcSkmzyj,gaYDCXjl,PeNTeYQX,txaRZFGs,14304,66634,55720,16788,60147,25146
CRuFHRNM,EAQODZzf,yknPAQkG,WWUovWbz,NXjKPgAL,JOEJPmpb,14207,16025,41651,49286,70139,38529
vkwjOwVc,TFKnOezk,aFSUJbeA,kztlKsMo,ksmUssZT,EmQgFgrM,50207,73770,32665,31581,51526,36824
gXMztHnn,EGAVdeaH,bIhuSIhj,dvWWYeQZ,HMjxCgAe,cokpCbSQ,45535,39880,35176,74321,91389,98187
LTSUbKzV,MMiyjcrK,TxOXVpam,jXAFdSlB,WRPNleDy,MGcyswEi,64824,5378,47851,97254,16696,54698
RnJkGYaE,wuBfIAkK,jPtuJBfE,zMSTQyXY,KMVyHqHi,roMXkcRv,45709,97610,57714,64988,94575,63305
jqrLaOFz,wYOGbBFy,DYyZbbIP,vdAmtmxg,cXqoPAyB,qVtLPimn,96345,42721,41968,83702,49129,18223
yLEJjUjf,MyyCRmLb,wzTDIuLL,bKulmNoV,mkaarRVy,EpzwjUJv,54938,52053,67387,58859,80184,23811
kUnZUDLp,XuOTIAkG,PjeaPFfe,YCrYftdk,AskXnYll,iztdpvdV,15658,96569,31327,24786,49915,49022
NdmLLqiv,NiJyIOHW,LQPZIdna,HmBBAaAg,oxUBAYOd,IgYmrgaI,78893,44297,27709,90007,9556,68005
gxknBjNm,bhsSGlNy,oWQMkRDl,ZeNaOMTy,lMSYcSkz,ybhRYYFU,3602,36754,37601,22485,97773,2273
xlvCdlvW,vGdSyHUx,sslGszWC,pcdrNVfp,DInfRLea,thkFfdoF,41037,47992,44584,20092,24546,97087
mahYZNsB,wvABsEUc,zjcXNPIf,wlENTllZ,bihmpIjm,WqbMWIdO,52414,18553,92595,46084,41033,72327
lhHqtwqZ,LwxAYAyi,LVzBlGfz,EpOyovly,OeyraMCv,OYkFbbyJ,64119,16755,4704,75632,18102,97172
GCmoELNh,jjUOUNZz,TZDWIIEg,aGiYivDi,zxeKRuZH,LEcZJZCA,60372,53919,89738,10093,82543,94475
JpjykuWD,vzFIkEUU,kDUsbSdT,GBPIGVUp,sBBTxvVK,tomyuXal,12434,28724,90828,33250,81837,99546
BWOQIEsP,lSAqzbuy,LIzHkVmG,dbteVRuI,srNnRaFc,xWfNuTqU,78203,66376,15721,31097,15383,55350
YSmhhAXr,scEiDAXh,JOABgcFs,rScJyPKT,QmdRfZud,LNExlVqo,80408,29919,48282,94499,49992,75193
xolqEdrn,AvibEoIr,zcJeKqIe,lPBAUksB,UqCnJVpV,LEZCCkJQ,69519,61777,95451,20610,59197,60280
QATkLvgx,BnpepGRb,ZkTGgJeA,ahXScwMm,KddoJbjP,EUmlooOs,82819,30170,34126,44109,11388,41722
UkWstwhh,qhedMNsC,aJIvWKmV,XFzNInHf,lKxdaIzz,lhzaTWWU,91492,60152,16986,57653,89023,40498
aOWJjahr,ftjzAWue,xiNcQpbk,oQUMoLkV,UYofTjYm,eTuFhqid,54901,65932,33507,4107,40814,14801
ikdfhxPF,ZiVClhxx,GIVuhTfa,YMsLHEaP,suArydAM,yIpbzcPM,68962,30567,55148,22231,96023,93864
LgqMDWoe,YYkXdduG,GSDiImhe,Xacnvxrv,PDsdqPoS,QunIQQhh,15790,84404,52019,81331,80566,76953
eMfwnSQB,trrLfidZ,sYhnoLmG,HUFJJAjd,xKGbDcFn,BvwwfUTy,62256,84574,74197,41717,61892,62498
oQZMFhRf,sNWKIpmm,WXxJaMTn,PDLRxjkE,GceeIUKi,mlFqSPJc,61305,7006,47295,15280,59087,30295
oHCFUczt,rdJcPfeD,yCYmgZta,eCdwJuBy,fTTgPzvj,MJTgQIud,14389,36005,99386,47169,49288,1356
vHrzSilC,GHOiztVT,ygkFSZfj,MtTvQTWw,YoNKytLj,nQRAVHhE,44691,80674,35494,61147,9912,40623
KWfdAqma,pWWGMire,YtwlSDNU,VtHzrxeg,GvMeMUBS,NuVOGgox,8778,11213,13187,83176,1167,89927
gbTuoASM,hrRAXKgY,KzDPytEG,qOqQfxux,pZRmKSay,IxrAAnVE,8601,11617,55546,1712,82181,26581
RSSplakq,aPxtyjaq,DPqnUKWq,AUIvaCei,ewYtkluq,fRtxvjZd,57786,41054,14115,93059,13092,22874
CJqmlPgL,xLLSLeYb,KyAMrtbm,dsHRGfIe,QijJpGmx,SNKgiljx,30309,20840,44851,44819,16003,35363
uOYmmVSz,ZhyOGcdw,NZRFcbMl,ynegzBhZ,wfhEjMmu,QigIFzCP,47775,31653,82865,29087,23643,6031
xNDQzsZs,IyzUjGgU,WZTyFxxA,gpSynjmA,EKwxhAAn,IDhOxGXu,36820,59448,30892,89315,26248,32316
